StoryID,CharactersID,AliasCharacters
1,Tokoh-1,['anake sane mentas ditu']
1,Tokoh-2,['jerone sareng sami']
1,Tokoh-3,['pianakne muani']
1,Tokoh-4,['liu anake']
1,Tokoh-5,['pan karsa']
1,Tokoh-6,['pan karta']
1,Tokoh-7,['pianak']
1,Tokoh-8,['jero']
2,Tokoh-1,"['i cicing gudig', 'cicing gudig', 'cicing']"
2,Tokoh-2,['cicinge to']
2,Tokoh-3,"['i kerkuak', 'kerkuak']"
2,Tokoh-4,"['i angsa', 'angsa']"
3,Tokoh-1,['widiadarine sane ayu-ayu pitung diri']
3,Tokoh-2,['widiadarine pitung diri punika']
3,Tokoh-3,"['cening widiadari ajak pepitu', 'cening']"
3,Tokoh-4,['para rsi kahyanga']
3,Tokoh-5,['sang hyang indra']
3,Tokoh-6,"['kurenan i arjuna', 'i arjuna']"
3,Tokoh-7,['dedari supraba']
3,Tokoh-8,['niwatakawaca']
3,Tokoh-9,['sang arjuna']
3,Tokoh-10,['tilottama']
3,Tokoh-11,['raksasa']
3,Tokoh-12,['danawa']
3,Tokoh-13,['detia']
3,Tokoh-14,['bapa']
3,Tokoh-15,['dewa']
4,Tokoh-1,"['ida anak agung ngurah rangsasa', 'ida anak agung ngurah sangsara', 'ngurah']"
4,Tokoh-2,['ida sanghyang sambu']
4,Tokoh-3,"['i ngurang rangsasa', 'i ngurah rangsasa', 'i ngurah']"
4,Tokoh-4,"['ida i ngurah sawe', 'ida ngurah sawe', 'i ngurah sawe']"
4,Tokoh-5,"['paduka betara', 'betara']"
4,Tokoh-6,['ida betara']
4,Tokoh-7,['ijo sambu']
5,Tokoh-1,['jro panunggun kepuh']
5,Tokoh-2,"['batan wit kepuhe', 'wit kepuhe']"
5,Tokoh-3,['wit kepuh ageng']
5,Tokoh-4,['batan kepuhe']
5,Tokoh-5,"['i tumtum', 'tumtum']"
6,Tokoh-1,['tukang jaring tokal muah be bano']
6,Tokoh-2,"['i nyoman jater', 'nyoman jater', 'nyoman']"
6,Tokoh-3,['jero pesaren']
6,Tokoh-4,"['krama pesare', 'pesare']"
6,Tokoh-5,"['memen wayan', 'meme wayan', 'meme']"
6,Tokoh-6,['meme nengah']
6,Tokoh-7,['klian saren']
6,Tokoh-8,['i pesaren']
6,Tokoh-9,"['i blenjo', 'blenjo']"
6,Tokoh-10,['klia']
6,Tokoh-11,['njo']
7,Tokoh-1,['belin icang maka dadua']
7,Tokoh-2,['adin-adinne maka dadua']
7,Tokoh-3,"['adin beli ajak dadua', 'adin', 'beli']"
7,Tokoh-4,"['gancing, gancung']"
7,Tokoh-5,['beli gancang']
7,Tokoh-6,['i gancing']
7,Tokoh-7,['i gancung']
7,Tokoh-8,['i gancang']
7,Tokoh-9,['i taru']
8,Tokoh-1,['pandita ajaka duang diri']
8,Tokoh-2,['panditane ane sujati']
8,Tokoh-3,['panditane maka kalih']
8,Tokoh-4,['pandita ane siluman']
8,Tokoh-5,"['kedis belibis putih', 'belibis putih']"
8,Tokoh-6,['i belibis putih']
8,Tokoh-7,"['ida sang prabu', 'sang prabu']"
8,Tokoh-8,"['ratu pandita', 'ratu']"
8,Tokoh-9,['cicing gudig']
8,Tokoh-10,['kedis goak']
8,Tokoh-11,['prabu boya']
8,Tokoh-12,['ane istri']
8,Tokoh-13,['narajana']
8,Tokoh-14,['belibise']
8,Tokoh-15,['kedise']
8,Tokoh-16,['bapa']
9,Tokoh-1,"['bangken anake luh totonan', 'anake luh', 'anak luh', 'luh']"
9,Tokoh-2,['anak luh jegeg pesan']
9,Tokoh-3,"['kurenane i belog', 'i belog', 'belog']"
9,Tokoh-4,['bangken anak luh']
9,Tokoh-5,['memene i belog']
9,Tokoh-6,['anake luh ento']
9,Tokoh-7,"['kurenan icange', 'kurenan', 'kurena']"
9,Tokoh-8,['men belog']
9,Tokoh-9,['bangke']
9,Tokoh-10,"['i meme', 'meme']"
9,Tokoh-11,['memen']
9,Tokoh-12,['me']
10,Tokoh-1,"['kedise petang ukud', 'kedise']"
10,Tokoh-2,"['ratu sang prabu', 'sang prabu']"
10,Tokoh-3,['ida sang prabu']
10,Tokoh-4,"['ida batara sri', 'ida batari sri']"
10,Tokoh-5,"['maharaja pretu', 'maharaja']"
10,Tokoh-6,"['i kedis sugem', 'kedis sugem']"
10,Tokoh-7,"['i kedis kuteh', 'kedis kuteh']"
10,Tokoh-8,['panjaki da']
10,Tokoh-9,['kedis dara']
10,Tokoh-10,"['ceninge', 'cening']"
10,Tokoh-11,"['panjake', 'panjak']"
10,Tokoh-12,['meme']
