storyID,characterID,AliasCharacters,sentenceID
1,Tokoh-1,"Pan Karsa, Pan Karta","1, 9, 14, 19, 29"
1,Tokoh-2,"pianakne muani, Pianakne, pianakne","1, 11, 13, 17, 20"
1,Tokoh-3,"anake sane mentas ditu, liu anake","22, 25, 28"
1,Tokoh-4,"jerone sareng sami, jerone",29
2,Tokoh-1,"I Angsa, Angsa, angsa","1, 2, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 20, 21, 25, 26, 29, 33, 34, 35, 38, 39, 40, 41"
2,Tokoh-2,"I Kerkuak, Kerkuak, kerkuak","1, 2, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 24, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 43"
2,Tokoh-3,"I Cicing gudig, Cicing, cicing gudig, cicing, cicinge to","24, 31, 33, 34, 35, 36, 37"
3,Tokoh-1,Sang Hyang Indra,"1, 5, 9, 11, 12, 13"
3,Tokoh-2,Niwatakawaca,"1, 3, 6"
3,Tokoh-3,detia,3
3,Tokoh-4,danawa,3
3,Tokoh-5,raksasa,3
3,Tokoh-6,dewa,3
3,Tokoh-7,para Rsi kahyangane,5
3,Tokoh-8,"Sang Arjuna, I Arjuna","7, 8, 13"
3,Tokoh-9,kurenan I Arjuna,14
3,Tokoh-10,dedari Supraba,11
3,Tokoh-11,"widiadarine sane ayu-ayu pitung diri, widiadarine pitung diri punika, Cening widiadari ajak pepitu, cening","11, 12, 13"
3,Tokoh-12,Tilottama,11
3,Tokoh-13,bapa,13
4,Tokoh-1,Ijo Sambu,"1, 37"
4,Tokoh-2,"I Ngurang Rangsasa, Ida Anak Agung Ngurah Rangsasa, I Ngurah Rangsasa, I Ngurah, Ngurah","3, 5, 11, 14, 15, 17, 18, 19, 20, 21, 23, 25, 27, 30, 38"
4,Tokoh-3,"I Ngurah Sawe, Ida I Ngurah Sawe, Ida Ngurah Sawe","9, 10, 36"
4,Tokoh-4,"Ida Betara, Paduka Betara, Betara","12, 16, 17"
4,Tokoh-5,Ida Sanghyang Sambu,"14, 17, 18, 20, 21"
5,Tokoh-1,"wit kepuh ageng, wit kepuhe, batan wit kepuhe","8, 9, 28"
5,Tokoh-2,"Jro panunggun kepuh, jro panunggun kepuh","10, 12"
5,Tokoh-3,"I Tumtum, Tumtum","2, 9, 22, 29, 33"
6,Tokoh-1,"I Nyoman Jater, I Nyoman jater, Nyoman Jater","2, 4, 5, 6, 8, 9, 12, 15, 35, 40, 42, 45, 47, 49, 53, 55, 57, 58, 59, 63, 65, 67, 69, 70, 71, 73, 76, 77, 80, 82, 88, 89, 94, 95, 98, 105, 107, 108, 111, 113"
6,Tokoh-2,"I Blenjo, Blenjo, Njo","2, 3, 4, 10, 16, 20, 25, 26, 30, 36, 37, 42, 43, 44, 46, 47, 48, 49, 50, 54, 56, 58, 60, 65, 66, 68, 71, 74, 77, 89, 90, 96, 97, 99, 107, 109, 117, 120"
6,Tokoh-3,tukang jaring tokal muah be bano,7
6,Tokoh-4,"Meme Wayan, Meme, Meme Nengah, meme","22, 23, 25, 27, 28"
6,Tokoh-5,"kliane, klian saren, kliane, Kliane","71, 80, 87"
6,Tokoh-6,"i pesaren, pesarene, Jero pesaren, krama pesarene","81, 82, 84"
7,Tokoh-1,"I Gancang, Beli Gancang","8, 21, 22, 28, 43"
7,Tokoh-2,"I Gancing, Gancing","8, 28, 42"
7,Tokoh-3,"I Gancung, Gancung","8, 32, 43"
7,Tokoh-4,I Taru,16
7,Tokoh-6,"adin-adinne maka dadua, adin beli ajak dadua","21, 43"
7,Tokoh-7,"beli, beline, Beli, belin icang maka dadua","24, 25, 28, 33, 43"
8,Tokoh-1,Narajana,"1, 3, 6, 7, 9, 13, 21, 25, 27, 28, 31, 32, 35, 38, 43, 49, 53, 60, 61, 71, 73, 75, 86, 90, 92"
8,Tokoh-2,"belibis putih, kedise, kedis Belibis Putih, Belibise, belibise, I Belibis Putih","25, 26, 27, 29, 30, 33, 35, 37, 39, 43, 56, 60, 63, 64, 71, 92"
8,Tokoh-3,kedis goak,39
8,Tokoh-4,Bapa,"27, 44, 46"
8,Tokoh-5,"Prabu Boya, Sang Prabu, Ida Sang Prabu","65, 75, 89"
8,Tokoh-6,cicing gudig,56
8,Tokoh-7,"pandita duang diri, panditane maka kalih, Ratu Pandita, Ratu","75, 76, 77"
8,Tokoh-8,Ane istri,69
8,Tokoh-9,Panditane ane sujati,78
8,Tokoh-10,Pandita ane siluman,"81, 88"
9,Tokoh-1,"I Belog, Belog","1, 3, 5, 8, 9, 10, 11, 12, 13, 17, 18, 20, 22, 23, 27, 28, 29, 30, 31, 33, 34, 37, 39, 42, 44, 46, 49, 51"
9,Tokoh-2,"memene, Meme, Memenne, memenne, I meme, Memene, Me, Men Belog, memene I Belog","8, 9, 11, 18, 19, 25, 26, 29, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45"
9,Tokoh-3,"kurenanne, kurenane, kurenan, kurenan I Belog","11, 17, 20, 22, 28"
9,Tokoh-4,"bangken anak luh, bangke, bangkene, anak luh jegeg pisan, Anak luh, anake luh ento, bangkene, bangke, bangken anake luh totonan","4, 5, 7, 9, 23, 24, 28, 33, 35"
10,Tokoh-1,"maharaja Pretu, Maharaja Pretu, Maharaja","1, 6, 26, 33, 38, 47"
10,Tokoh-2,"panjake, Panjake, panjak, panjaki dane","2, 3, 5, 6, 8, 11, 22, 27, 28, 31, 35, 38, 43, 44"
10,Tokoh-3,"Ida Sang Prabu, Ida Sang prabu, sang prabu, ida sang prabu, Ratu sang prabu, Ratu Sang Prabu","3, 5, 35, 42, 46, 66, 69, 73, 78, 83"
10,Tokoh-4,"Ida Batari Sri, ida batara, Ida Batara","45, 67"
10,Tokoh-5,meme,"39, 40, 41"
10,Tokoh-6,"I kedis kuteh, Kedis kuteh","49, 68"
10,Tokoh-7,"I kedis sugem, Kedis Sugem","54, 72"
10,Tokoh-8,"kedis dara, Kedis dara","59, 77"
10,Tokoh-9,"Cening, ceninge, cening","38, 39, 40, 41"
10,Tokoh-10,"kedise petang ukud, kedise","45, 66"
11,Tokoh-1,"Bhagawan Domia, Ratu Bhagawan, Ida Bhagawan Domia, Ida Hyang Bhagawan, Ida Bhagawan","1, 7, 9, 12, 18, 19, 25, 32, 35, 37, 40, 44, 49, 50, 53, 57, 59, 61"
11,Tokoh-2,"Sang Utamaniu, Sang Utamaniune, Ida Sang Utamaniu","2, 25, 28, 29, 32, 33, 34, 36, 40, 42, 43, 45, 49, 50, 52, 53, 54, 56"
11,Tokoh-3,"Sang Arunika, Ida Sang Arunika","2, 6, 10, 12, 13, 14, 16, 17, 19, 24, 27"
11,Tokoh-4,"Sang Weda, Ida Sang Weda","2, 6, 57, 58, 60, 61"
11,Tokoh-5,"Ida Dang Guru, Dang Guru, dang guru, Dang guru, dang gurujati","3, 8, 28, 31, 32, 41, 60"
11,Tokoh-6,bapa,"4, 6"
11,Tokoh-7,Sang Abimanyu,6
11,Tokoh-9,"Ceninge, Cening","22, 23, 25, 26, 27, 32, 40, 41"
12,Tokoh-1,"Men Bekung, Men Bekunge, Men bekung","1, 2, 3, 4, 5, 8, 16, 17, 23, 24, 97, 98, 101"
12,Tokoh-2,Pan Bekung,"1, 5, 6"
12,Tokoh-3,"I Bintang Lara, Bintang Lara, I Bintang Larane, adi Bintang Lara, adi, I adi, Adi Bintang Lara, Adi","8, 9, 12, 14, 17, 18, 20, 23, 25, 27, 28, 30, 35, 36, 38, 39, 43, 45, 47, 50, 52, 57, 59, 62, 67, 68, 70, 72, 79, 80, 82, 85, 92, 93, 96, 99, 100, 103, 104, 105, 106, 107, 110, 112, 114, 115, 117, 118, 119, 120, 121, 122, 123, 124, 125, 130, 131, 132, 134, 136, 137, 143, 146, 147"
12,Tokoh-4,"Anak Agung, Anake Agung, Ida Anake Agung, Ratu Anak Agung, Ratu Dewa Agung, Ratu Dewa Anak Agung, Anake agung, Ida Anak Agung, anake agung","11, 12, 14, 16, 17, 18, 20, 21, 23, 30, 36, 104, 107, 109, 110, 111, 120, 127, 128, 132, 133, 134, 142, 143, 144, 146"
12,Tokoh-5,"parekanidane, parekane, i parekan, parekan, I Parekan, Parekan-parekan","11, 12, 13, 14, 15, 16, 17, 110"
12,Tokoh-6,Anak Agung istri,21
12,Tokoh-7,"memene, Meme, meme, me","17, 25, 26, 27, 28, 93, 95, 98, 99, 101"
12,Tokoh-8,bapanne,"27, 28"
12,Tokoh-9,"anak odah, Anake odah, jero anak odah","29, 30, 33, 35"
12,Tokoh-10,"rabinida, rabin Anake Agung","9, 30"
12,Tokoh-11,"Rangsasa, I Rangsasa, I Raksasa","33, 35, 37, 40, 41, 43, 72, 73, 74, 75, 77, 78, 81, 85, 89, 90, 91"
