StoryID,SentenceID,Character,normalized_characters
1,0,Pan Karsa,pan karsa
1,0,pianakne muani,pianak muani
1,8,Pan Karsa,pan karsa
1,10,pianakne,pianak
1,12,Pianakne,pianak
1,13,Pan Karsa,pan karsa
1,16,pianakne,pianak
1,18,Pan Karsa,pan karsa
1,19,Pianakne,pianak
1,21,anake sane mentas ditu,anake sa mentas ditu
1,24,liu anake,liu anake
1,27,liu anake,liu anake
1,28,Pan Karta,pan karta
1,28,jerone sareng sami,jero sareng sami
1,28,jerone,jero
2,0,I Angsa,i angsa
2,0,I Kerkuak,i kerkuak
2,1,I Angsa,i angsa
2,1,I Kerkuak,i kerkuak
2,3,I Angsa,i angsa
2,4,I Kerkuak,i kerkuak
2,5,I Angsa,i angsa
2,6,I Angsa,i angsa
2,7,I Angsa,i angsa
2,7,I Kerkuak,i kerkuak
2,8,kerkuak,kerkuak
2,9,I Kerkuak,i kerkuak
2,10,I Kerkuak,i kerkuak
2,10,I Kerkuak,i kerkuak
2,10,I Angsa,i angsa
2,10,I Angsa,i angsa
2,11,I Kerkuak,i kerkuak
2,11,I Angsa,i angsa
2,11,Angsa,angsa
2,11,I Angsa,i angsa
2,12,I Angsa,i angsa
2,12,Kerkuak,kerkuak
2,13,I Angsa,i angsa
2,13,I Kerkuak,i kerkuak
2,14,I Kerkuak,i kerkuak
2,14,I Angsa,i angsa
2,14,Angsa,angsa
2,15,I Angsa,i angsa
2,16,I Angsa,i angsa
2,16,I Kerkuak,i kerkuak
2,16,I Angsa,i angsa
2,16,I Kerkuak,i kerkuak
2,19,I Angsa,i angsa
2,19,I Kerkuak,i kerkuak
2,20,I Angsa,i angsa
2,23,I Kerkuak,i kerkuak
2,23,cicing,cicing
2,24,I Angsa,i angsa
2,25,I Angsa,i angsa
2,28,I Angsa,i angsa
2,28,I Kerkuak,i kerkuak
2,29,Kerkuak,kerkuak
2,30,I Cicing gudig,i cicing gudig
2,30,I Kerkuak,i kerkuak
2,30,kerkuak,kerkuak
2,31,I Kerkuak,i kerkuak
2,32,I Cicing gudig,i cicing gudig
2,32,I Kerkuak,i kerkuak
2,32,I Angsa,i angsa
2,33,I Angsa,i angsa
2,33,I Angsa,i angsa
2,33,I Kerkuak,i kerkuak
2,33,Cicing,cicing
2,33,angsa,angsa
2,33,cicing,cicing
2,34,I Kerkuak,i kerkuak
2,34,I Angsa,i angsa
2,34,cicing gudig,cicing gudig
2,35,cicinge to,cicinge to
2,35,I Cicing gudig,i cicing gudig
2,36,I Cicing gudig,i cicing gudig
2,36,I Kerkuak,i kerkuak
2,36,I Kerkuak,i kerkuak
2,37,I Angsa,i angsa
2,37,I Kerkuak,i kerkuak
2,38,I Kerkuak,i kerkuak
2,38,I Angsa,i angsa
2,39,I Kerkuak,i kerkuak
2,39,I Angsa,i angsa
2,39,Angsa,angsa
2,40,I Angsa,i angsa
2,40,kerkuak,kerkuak
2,42,I Kerkuak,i kerkuak
3,0,Sang Hyang Indra,sang hyang indra
3,0,Niwatakawaca,niwatakawaca
