StoryID,CharactersID,AliasCharacters
1,Tokoh-1,"Pan Karsa, Pan Karta"
1,Tokoh-2,"pianakne muani, Pianakne, pianakne"
1,Tokoh-3,"anake sane mentas ditu, liu anake"
1,Tokoh-4,"jerone sareng sami, jerone"
2,Tokoh-1,"I Angsa, Angsa, angsa"
2,Tokoh-2,"I Kerkuak, Kerkuak, kerkuak"
2,Tokoh-3,"I Cicing gudig, Cicing, cicing gudig, cicing, cicinge to"
3,Tokoh-1,Sang Hyang Indra
3,Tokoh-2,Niwatakawaca
3,Tokoh-3,detia
3,Tokoh-4,danawa
3,Tokoh-5,raksasa
3,Tokoh-6,dewa
3,Tokoh-7,para Rsi kahyangane
3,Tokoh-8,"Sang Arjuna, I Arjuna"
3,Tokoh-9,kurenan I Arjuna
3,Tokoh-10,dedari Supraba
3,Tokoh-11,"widiadarine sane ayu-ayu pitung diri, widiadarine pitung diri punika, Cening widiadari ajak pepitu, cening"
3,Tokoh-12,Tilottama
3,Tokoh-13,bapa
4,Tokoh-1,Ijo Sambu
4,Tokoh-2,"I Ngurang Rangsasa, Ida Anak Agung Ngurah Rangsasa, I Ngurah Rangsasa, I Ngurah, Ngurah"
4,Tokoh-3,"I Ngurah Sawe, Ida I Ngurah Sawe, Ida Ngurah Sawe"
4,Tokoh-4,"Ida Betara, Paduka Betara, Betara"
4,Tokoh-5,Ida Sanghyang Sambu
5,Tokoh-1,"wit kepuh ageng, wit kepuhe, batan wit kepuhe"
5,Tokoh-2,"Jro panunggun kepuh, jro panunggun kepuh"
5,Tokoh-3,"I Tumtum, Tumtum"
6,Tokoh-1,"I Nyoman Jater, I Nyoman jater, Nyoman Jater"
6,Tokoh-2,"I Blenjo, Blenjo, Njo"
6,Tokoh-3,tukang jaring tokal muah be bano
6,Tokoh-4,"Meme Wayan, Meme, Meme Nengah, meme"
6,Tokoh-5,"kliane, klian saren, kliane, Kliane"
6,Tokoh-6,"i pesaren, pesarene, Jero pesaren, krama pesarene"
7,Tokoh-1,"I Gancang, Beli Gancang"
7,Tokoh-2,"I Gancing, Gancing"
7,Tokoh-3,"I Gancung, Gancung"
7,Tokoh-4,I Taru
7,Tokoh-6,"adin-adinne maka dadua, adin beli ajak dadua"
7,Tokoh-7,"beli, beline, Beli, belin icang maka dadua"
8,Tokoh-1,Narajana
8,Tokoh-2,"belibis putih, kedise, kedis Belibis Putih, Belibise, belibise, I Belibis Putih"
8,Tokoh-3,kedis goak
8,Tokoh-4,Bapa
8,Tokoh-5,"Prabu Boya, Sang Prabu, Ida Sang Prabu"
8,Tokoh-6,cicing gudig
8,Tokoh-7,"pandita duang diri, panditane maka kalih, Ratu Pandita, Ratu"
8,Tokoh-8,Ane istri
8,Tokoh-9,Panditane ane sujati
8,Tokoh-10,Pandita ane siluman
9,Tokoh-1,"I Belog, Belog"
9,Tokoh-2,"memene, Meme, Memenne, memenne, I meme, Memene, Me, Men Belog, memene I Belog"
9,Tokoh-3,"kurenanne, kurenane, kurenan, kurenan I Belog"
9,Tokoh-4,"bangken anak luh, bangke, bangkene, anak luh jegeg pisan, Anak luh, anake luh ento, bangkene, bangke, bangken anake luh totonan"
