StoryID,SentenceID,Character
1,1,Pan Karsa
1,1,pianakne muani
1,9,Pan Karsa
1,11,pianakne
1,13,Pianakne
1,14,Pan Karsa
1,17,pianakne
1,19,Pan Karsa
1,20,Pianakne
1,22,anake sane mentas ditu
1,25,liu anake
1,28,liu anake
1,29,Pan Karta
1,29,jerone sareng sami
1,29,jerone
2,1,I Angsa
2,1,I Kerkuak
2,2,I Angsa
2,2,I Kerkuak
2,4,I Angsa
2,5,I Kerkuak
2,6,I Angsa
2,7,I Angsa
2,8,I Angsa
2,8,I Kerkuak
2,9,kerkuak
2,10,I Kerkuak
2,11,I Kerkuak
2,11,I Kerkuak
2,11,I Angsa
2,11,I Angsa
2,12,I Kerkuak
2,12,I Angsa
2,12,Angsa
2,12,I Angsa
2,13,I Angsa
2,13,Kerkuak
2,14,I Angsa
2,14,I Kerkuak
2,15,I Kerkuak
2,15,I Angsa
2,15,Angsa
2,16,I Angsa
2,17,I Angsa
2,17,I Kerkuak
2,17,I Angsa
2,17,I Kerkuak
2,20,I Angsa
2,20,I Kerkuak
2,21,I Angsa
2,24,I Kerkuak
2,24,cicing
2,25,I Angsa
2,26,I Angsa
2,29,I Angsa
2,29,I Kerkuak
2,30,Kerkuak
2,31,I Cicing gudig
2,31,I Kerkuak
2,31,kerkuak
2,32,I Kerkuak
2,33,I Cicing gudig
2,33,I Kerkuak
2,33,I Angsa
2,34,I Angsa
2,34,I Angsa
2,34,I Kerkuak
2,34,Cicing
2,34,angsa
2,34,cicing
2,35,I Kerkuak
2,35,I Angsa
2,35,cicing gudig
2,36,cicinge to
2,36,I Cicing gudig
2,37,I Cicing gudig
2,37,I Kerkuak
2,37,I Kerkuak
2,38,I Angsa
2,38,I Kerkuak
2,39,I Kerkuak
2,39,I Angsa
2,40,I Kerkuak
2,40,I Angsa
2,40,Angsa
2,41,I Angsa
2,41,kerkuak
2,43,I Kerkuak
3,1,Sang Hyang Indra
3,1,Niwatakawaca
3,3,Niwatakawaca
3,3,detia
3,3,danawa
3,3,raksasa
3,3,dewa
3,5,Sang Hyang Indra
3,5,para Rsi kahyangane
3,6,Niwatakawaca
3,7,Sang Arjuna
3,8,Sang Arjuna
3,9,Sang Hyang Indra
3,11,Sang Hyang Indra
3,11,widiadarine sane ayu-ayu pitung diri
3,11,dedari Supraba
3,11,Tilottama
3,12,widiadarine pitung diri punika
3,12,Sang Hyang Indra
3,13,Sang Hyang Indra
3,13,Cening widiadari ajak pepitu
3,13,bapa
3,13,cening
3,13,bapa
3,13,I Arjuna
3,14,kurenan I Arjuna
4,1,Ijo Sambu
4,3,I Ngurang Rangsasa
4,5,Ida Anak Agung Ngurah Rangsasa
4,9,I Ngurah Sawe
4,9,Ida Anak Agung Ngurah Sangsara
4,10,Ida I Ngurah Sawe
4,11,Ida Anak Agung Ngurah Rangsasa
4,12,Ida Betara
4,14,Ida Sanghyang Sambu
4,14,Ida Anak Agung Ngurah Rangsasa
4,15,Ngurah
4,15,Ngurah
4,15,I Ngurah Rangsasa
4,16,Paduka Betara
4,17,Betara
4,17,Paduka Betara
4,17,Ida Sanghyang Sambu
4,17,Ngurah
4,18,Ngurah
4,18,Ida Sanghyang Sambu
4,19,I Ngurah Rangsasa
4,20,I Ngurah Rangsasa
4,20,Ida Sanghyang Sambu
4,21,I Ngurah Rangsasa
4,21,Ida Sanghyang Sambu
4,23,I Ngurah Rangsasa
4,25,I Ngurah Rangsasa
4,27,I Ngurah Rangsasa
4,30,I Ngurah
4,36,Ida Ngurah Sawe
4,37,Ijo Sambu
4,38,I Ngurah Rangsasa
5,2,I Tumtum
5,8,wit kepuh ageng
5,9,I Tumtum
5,9,batan wit kepuhe
5,10,Jro panunggun kepuh
5,12,jro panunggun kepuh
5,22,I Tumtum
5,25,batan kepuhe
5,28,wit kepuhe
5,29,Tumtum
5,33,I Tumtum
6,2,I Nyoman Jater
6,2,I Blenjo
6,3,I Blenjo
6,4,I Nyoman Jater
6,4,I Blenjo
6,5,I Nyoman Jater
6,6,I Nyoman Jater
6,7,tukang jaring tokal muah be bano
6,8,I Nyoman Jater
6,9,I Nyoman Jater
6,10,I Blenjo
6,12,I Nyoman Jater
6,15,I Nyoman Jater
6,16,I Blenjo
6,20,I Blenjo
6,22,Memen Wayan
6,22,Meme
6,23,Meme
6,25,I Blenjo
6,25,Meme Wayan
6,26,I Blenjo
6,27,Meme Nengah
6,27,meme
6,28,meme
6,28,Meme
6,30,I Blenjo
6,35,Nyoman Jater
6,36,Blenjo
6,37,I Blenjo
6,40,I Nyoman Jater
6,42,I Blenjo
6,42,I Nyoman Jater
6,43,I Blenjo
6,44,I Blenjo
6,45,I Nyoman Jater
6,46,I Blenjo
6,47,I Nyoman Jater
6,47,I Blenjo
6,47,Njo
6,47,Njo
6,48,I Blenjo
6,49,I Nyoman jater
6,49,I Blenjo
6,50,I Blenjo
6,53,I Nyoman Jater
6,54,I Blenjo
6,55,I Nyoman Jater
6,56,I Blenjo
6,57,I Nyoman Jater
6,58,I Blenjo
6,58,I Nyoman Jater
6,59,I Nyoman Jater
6,60,I Blenjo
6,63,I Nyoman Jater
6,65,I Nyoman Jater
6,65,Njo
6,66,I Blenjo
6,67,I Nyoman Jater
6,68,I Blenjo
6,69,Nyoman Jater
6,70,I Nyoman Jater
6,71,kliane
6,71,I Nyoman Jater
6,71,I Blenjo
6,71,Njo
