story_id,person,aliases,type,sentence_id,text,mention_count,word_count,text_prev,text_next,bert_context,is_primary_in_sentence
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,1,Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede .,5,63.0,,Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,[SEP] Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede . [SEP] Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,1
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,9,Apeteng Pan Karsa tusing bisa pules ngenehang gegaene .,5,63.0,Petengne saget ujan bales pesan madulurang angin .,Takut semere bek kaurugin tanah .,Petengne saget ujan bales pesan madulurang angin . [SEP] Apeteng Pan Karsa tusing bisa pules ngenehang gegaene . [SEP] Takut semere bek kaurugin tanah .,1
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,14,Pan Karsa masih mapangenan .,5,63.0,Pianakne sedih mapangenan .,Makelo ia bengong mangenang kalacuran dewekne .,Pianakne sedih mapangenan . [SEP] Pan Karsa masih mapangenan . [SEP] Makelo ia bengong mangenang kalacuran dewekne .,1
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,19,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba .,5,63.0,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,Pianakne masih nuutang tingkah bapane .,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne . [SEP] Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba . [SEP] Pianakne masih nuutang tingkah bapane .,1
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,29,Ditu Pan Karta malaib-laib tur ngomong Inggih jerone sareng sami tiang nunas pisan ring pitulung jerone sane paicaang ring tiang .,5,63.0,Baan liu anake magae buina tanah nu gebuh dadiannya tuara makelo semere ento suba kedas buka ibine .,,Baan liu anake magae buina tanah nu gebuh dadiannya tuara makelo semere ento suba kedas buka ibine . [SEP] Ditu Pan Karta malaib-laib tur ngomong Inggih jerone sareng sami tiang nunas pisan ring pitulung jerone sane paicaang ring tiang . [SEP],1
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,1,Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede .,6,42.0,,Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,[SEP] Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede . [SEP] Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,0
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,11,Manine nu ruput ia ajaka pianakne nelokin semere sambilang ngaba tambah .,6,42.0,Takut semere bek kaurugin tanah .,Saja lantas semere bek aji tanah .,Takut semere bek kaurugin tanah . [SEP] Manine nu ruput ia ajaka pianakne nelokin semere sambilang ngaba tambah . [SEP] Saja lantas semere bek aji tanah .,1
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,13,Pianakne sedih mapangenan .,6,42.0,Saja lantas semere bek aji tanah .,Pan Karsa masih mapangenan .,Saja lantas semere bek aji tanah . [SEP] Pianakne sedih mapangenan . [SEP] Pan Karsa masih mapangenan .,1
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,17,Lantas ia ngomong teken pianakne .,6,42.0,Nangingke ia ngalih daya apanga gegaene aluhan .,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,Nangingke ia ngalih daya apanga gegaene aluhan . [SEP] Lantas ia ngomong teken pianakne . [SEP] Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,1
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,20,Pianakne masih nuutang tingkah bapane .,6,42.0,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba .,Buine tambahe ane besikan bantangne tancebanga ka tanahe ane ngurugin semere muah ane lenan pejaga di sisin semere suud keto lantas kalahina mengkeb .,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba . [SEP] Pianakne masih nuutang tingkah bapane . [SEP] Buine tambahe ane besikan bantangne tancebanga ka tanahe ane ngurugin semere muah ane lenan pejaga di sisin semere suud keto lantas kalahina mengkeb .,1
