story_id,person,aliases,type,sentence_id,text,is_dialogue,count_lexicon,is_subject,is_object
44,Tokoh-6,"['angsa muani', 'I Angsa muani']",Protagonist,29, Apa buin suba kaiket cara nyama tugelan dini pasautne I Angsa muani,0,0.0,1,1
46,Tokoh-3,"['I Nyoman Karang', 'I Nyoman Karange', 'Nyoman Karang', 'Nyoman']",Protagonist,7, Bendesane ento madan I Nyoman Karang,0,0.0,1,1
53,Tokoh-1,"['punyan kepuh gede tur tegeh', 'I Kepuh', 'Kepuh']",Antagonist,34, I Kepuh nombahang,0,0.0,1,1
28,Tokoh-1,"['I Belog', 'Belog']",Protagonist,16, Mara cicipina dadi jaen rasan jaja begina ento nyangluh manis dot ia buin ngidih teken I Belog nanging suba telah,0,-2.0,1,1
79,Tokoh-2,"['I Cekcek', 'cekcek', 'Cekcek']",Antagonist,34, Keto masih mara das neked di punyan kayune makaukan lantas I Kidang neked dija cai Cekcek Masaut I Cekcek di punyan kayune Kai suba dini di punyan kayune,0,0.0,1,1
109,Tokoh-11,['Ida Brahmana lanang'],Protagonist,25, Keto pangandikan Ida Brahmana lanang,0,0.0,1,0
32,Tokoh-1,"['I Bikul', 'Bikul', 'I bikul', 'bikul cenik']",Protagonist,18, Cai nongos dini suba taen Cai ngecapin kengken rasan susune ane ada di jedinge ento Masaut I Bikul Nah yen ento takonang Cai cang tusing taen ngecapin sawireh susune ada di jedinge tegeh sajan,0,1.0,1,1
42,Tokoh-5,"['I juru pikat', 'I Juru pikat']",Protagonist,50, Masaut I Juru pikat saking madalem I Donglen,0,0.0,1,1
65,Tokoh-1,"['I Lutung', 'Lutung', 'I Lutunge']",Antagonist,36, Mara keto I Lutung sajan lantas bedbeda awak I Lutunge baan duk tur gantunganga biyu di muncuk ikutne,0,0.0,1,1
12,Tokoh-3,"['I Bintang Lara', 'Bintang Lara', 'I Bintang Larane', 'adi Bintang Lara', 'adi', 'I adi', 'Adi Bintang Lara', 'Adi']",Protagonist,50, Ditu lantas I Bintang Lara membon ngepil di bongkol bingine,0,0.0,1,1
108,Tokoh-13,"['kalih pandita', 'Makakalih Sang Pandita']",Protagonist,15, Irika ida masandekan temuli ngantenang kawentenan kalih pandita sane sedeng keni pakewuh,0,0.0,1,0
88,Tokoh-4,"['pianakne', 'pianake', 'pianak', 'pianakne Pan Brayut', 'pianak-pianakne', 'pianak-pianak Pan Brayut']",Protagonist,28, Tan kacarita saget pada kelih-kelih pianakne Pan Brayut ane muani bagus-bagus ane luh jegeg-jegeg,0,0.0,1,1
13,Tokoh-1,"['Ni Murdani', 'Murdani']",Antagonist,76, Ento wantah Ni Murdani sujati,0,0.0,1,1
79,Tokoh-2,"['I Cekcek', 'cekcek', 'Cekcek']",Antagonist,38, Keto pasobayan I Kidange teken I Cekcek krana I Cekcek sing ja payu nampah I Kidang dugase ento,0,0.0,1,1
98,Tokoh-13,"['i bikul', 'bikul']",Protagonist,90, Dening keto i meong lantas tundena ngaba nyak lantas i meong tur emuna bungkunge suba keto majalan lantas i bikul muah i cicing nuuk blabar,0,0.0,1,1
33,Tokoh-2,"['bojog', 'bojoge', 'Bojog', 'I Bojog', 'I bojog']",Antagonist,5, Ento makrana liu bojoge teka ka tongose ento ngalih amah,0,1.0,1,0
105,Tokoh-18,"['I Patih', 'Kaka patih', 'kaka patih']",Protagonist,268, Mulihan lantas I Patih,0,0.0,1,0
42,Tokoh-1,"['Ni Luh Arum', 'Ni Luh Arume', 'Luh Arume', 'Luh Arum', 'Luh', 'Luh arum']",Antagonist,118, Inggih jrone kedis curik yen yakti kadi raos jrone dadi masalin goban titiange rahayu dados janma matuutin anak lian mangda durus titiang masomah ring Luh Arum titiang sungsunga pangandikan jrone titiang karyananga jrone palinggih disanggah titiange,0,0.0,1,1
98,Tokoh-12,"['pandene', 'pande']",Protagonist,67, Suba keto pasuang oke ka pande,0,0.0,1,0
101,Tokoh-1,['Pan Mangut'],Protagonist,14, Jro Kelihan Desa ngemaang semaya teken Pan Mangut manian yening sampine ngelah panak mara aukud ento dadi gelah Pan Mangut,0,0.0,1,0
94,Tokoh-2,"['Ida Raden Galuh Daha', 'Ida Raden Galuh', 'Raden Galuh', 'Ida Raden Gal uh', 'I Galuh Daha', 'Cening Nanak Galuh']",Protagonist,54, Sarauhe ditu nuju dewasa melah lantas Ida Raden Mantri ring Raden Galuh kapabuncingang,0,5.0,1,0
18,Tokoh-5,"['Dewi Kunti', 'Dewi Kanti']",Protagonist,12, Ri tatkala rahina becik Dewi Kunti ngampakang jelanan genah dane sane asri pisan,0,9.0,1,0
96,Tokoh-4,"['krama banjare', 'kramane', 'Krama banjare', 'krama banjar', 'Krama banjar']",Protagonist,113, Krama banjare makejang tuara lega,0,0.0,1,1
96,Tokoh-1,"['Pan Angklung Gadang', 'Bapa Angklung Gadang', 'Pan Angklung Gadange', 'Angklung Gadang', 'I Angklung Gadang']",Antagonist,19, Pan Angklung Gadang ngembusin eteh-eteh jarane nglaut nyutsut peluhne,0,0.0,1,1
104,Tokoh-3,"['para baudanda', 'baudandan Ida']",Protagonist,17, Panangkilane satinut ring wecanan Ida Sang Prabhu pada kacumponin antuk para wiku miwah baudandan Ida makejang,0,0.0,1,0
6,Tokoh-2,"['I Blenjo', 'Blenjo', 'Njo']",Antagonist,90, Meh ada apakpakan base makelone mara buin inget I Blenjo laut ngeling goar-goar,0,0.0,1,1
46,Tokoh-1,"['I Wayan Tigaron', 'I Tigaron']",Antagonist,37, Masaut I Wayan Tigaron yen amonto te sugih tur saktin bapane bantes ngalihang anak luh aukud tusing mapikolih Kanti lengar malajahin pangliakan eda suba buin ngalih ane lenan tiang tusing ja lakatr nganten,0,1.0,1,0
84,Tokoh-2,"['I kambing', 'kambing', 'I Kambing']",Antagonist,7, I Kambing manggutan sarwi ngomong Nah wake ane nyadia nginutin munyin ibane,0,1.0,1,1
98,Tokoh-2,"['Men Jempenit', 'Men jempenit']",Antagonist,47, Ka peken lantas Men Jempenit meli panganggo aji mase ane ambul sendine,0,0.0,1,1
88,Tokoh-1,"['Pan Brayut', 'De Brayut']",Protagonist,33, Jani kanikayang Pan Brayut nyeraya sig gook kepuhe di sema agunge umah soroh memedine rame matinggah ada nglanting muah noltol ati,0,0.0,1,0
14,Tokoh-2,['Ni Badung'],Protagonist,30, Irika raris Ni Badung ngeling sigsigan tur malisah saha melekur ula ayane ane sampun padem,0,0.0,1,0
82,Tokoh-2,"['I Kekua', 'Kekua']",Antagonist,12, Masaut I Kekua Nah dong enggalang je bukaang jelana krangkenge Disubane mabukaang krangkenge encol I Lutung macelep ka krangkenge,0,0.0,1,1
58,Tokoh-1,['I Lara'],Protagonist,1,Ada kone anak cerik ubuh muani madan I Lara,0,0.0,1,0
112,Tokoh-3,"['Patih Sambada', 'I Patih Sambada', 'I Sambada', 'Sambada']",Antagonist,23, Tan kacritayang di jalan I Sambada suba tangkil teken Sang Singa nyumbah-nyumbah matur Inggih Ratu Sri Mregapati titiang nunas ampura Titiang polih tangkil ring Sang Nandaka,0,4.0,1,1
85,Tokoh-1,"['I Lutung', 'Lutung', 'Tung']",Antagonist,23, Enden malu awake konden betek masaut I Lutung sambila ngilag nyambu,0,0.0,1,1
70,Tokoh-1,"['tuma', 'I Tuma']",Protagonist,29, Buin alih-alihina tepukina I Tuma di lepitan kasure,0,0.0,1,1
91,Tokoh-2,['Ni Kesuna'],Antagonist,2, Pianakne ane kelihan madan Ni Bawang ane cerikan madan Ni Kesuna,0,0.0,1,0
117,Tokoh-8,"['bikul', 'Sang Bikul', 'I Bikul']",Protagonist,63, Nyak lantas I Meong teken I Bikul majalan ajaka dadua kumahne I Raksasa,0,0.0,1,1
73,Tokoh-1,['I Wingsata'],Antagonist,22, Sakewala tusing ia bani nglawan I Wingsata sawireh awakne joh cenikan,0,2.0,1,0
67,Tokoh-7,"['I Kedis Goak', 'I Goak', 'Goak']",Antagonist,63, Icang ngidih pelih tekening cai Goak,0,0.0,1,0
97,Tokoh-1,"['Pan Balang Tamak', 'Pan Balang Tamake']",Antagonist,9, Lantas panyarikan desane nunden ngarahin Pan Balang Tamak kene arah-arahne Ih Pan Balang Tamak mani semengan mara tuun siap desane luas ka gunung ngalih kayu bakal anggon menahin bale agung,0,0.0,1,0
120,Tokoh-2,"['I Kekua', 'I kekua', 'Kekua', 'kekua']",Antagonist,4, Gelisin satua enggal suba kone I Lutung ngajak I Kekua neked di abiane I Pekak Dukuh turmaning girang makada nepukin buah biune kuning- kuning sedeng nasak laut I Lutung mapajar tekaen I Kekua Ih Cai Kekua cai dini nyaga di beten punyan biune Icang ja ane menek ngalap biune ento,0,3.0,1,1
96,Tokoh-9,"['kulukne', 'Kuluk', 'kuluk', 'kuluke']",Antagonist,51, Duk ento nujuang kulukne di batan padagangan anake nyilap-nyilap tekor,0,0.0,1,0
105,Tokoh-8,"['I Sampi Wadak', 'I Sampi', 'Jro Sampi', 'I Sampine', 'Sang Sampi', 'Sampi', 'I sampi', 'I sampi wadak', 'sampi wadak', 'I Sampi Wadake']",Protagonist,74, Disubanne tepukina I Lutung ngomong lantas I sampi,0,1.0,1,1
30,Tokoh-1,['Pan Meri'],Protagonist,27, Sedek bengong Pan Meri jeg teka anak gede selem siteng tur tangkahne mabulu,0,2.0,1,0
12,Tokoh-17,['baudandanidane'],Protagonist,132, critayang Ida Anake Agung bendu pesan pakayunane dening tan nyidaang ngamatiang I Bintang Lara lantas Ida ngaukin baudandanidane miwah tanda mantri parbekel lakar ngabug I Bintang Lara,0,-2.0,1,0
17,Tokoh-1,"['Ni Jepun', 'Dadong Jepun', 'Dadong', 'Dong']",Protagonist,8, Yening peteng Dadong Jepun masare di bale tiinge masaput kamben uek,0,0.0,1,1
75,Tokoh-2,"['rare ngeling', 'rare ne ngeling punika', 'rarene punika', 'rare punika', 'Rarene punika']",Protagonist,9, Raris saup dane saking duri keni rarene punika prebutin dane,0,0.0,1,1
48,Tokoh-4,"['Ida Sang Prabu Mangsalia', 'Sang Prabu Mangsalia', 'Dewa Sang Prabu', 'I Dewa', 'sang prabu']",Protagonist,41, Gelisin satua suba pada madugdug saange irika raris Ida Sang Prabu kairing antuk panjak-panjak idane sami irika raris sang prabu ngandikayang apang ngejutin saange punika genine murub,0,0.0,1,0
90,Tokoh-1,"['Nang Cubling', 'Nang Cublinge']",Antagonist,11, I Bojog buin nakonang Apa kerasang te Nang Cubling nyautin I Lut I Lut I Lut I Lutung Mara I Bojog ningeh munyin Nang Cublinge ngorahang I Lutung lantas ia malaib morahan teken timpalne,0,0.0,1,1
32,Tokoh-2,"['Semal', 'I Semal']",Antagonist,23, Masaut buin I Semal Kene Bikul,0,0.0,1,1
9,Tokoh-1,"['I Belog', 'Belog']",Antagonist,8, Suba jani ia pesu uli umah meten I Belog morahan teken memene Meme icang ngrorod Me ajak anak luh jegeg pesan,0,-3.0,1,1
